ブランド名	タンパク含有量(%)	タンパク含有量誤差(%)	灰分量(%)		灰分量誤差(%)
シェリジー・トラディション・タイプ65	10.5	0	0.6	0
ゆきちから	11.0	0	0.46	0
ビリオン	12.8	0.5	0.41	0.03
オーション	13.0	0.5	0.52	0.04
スペルト	15.0	1.0	0.6	0.05
そめいよしの	11.6	0	0.43	0
ハナマンテン100	10.5	1.5	0.44	0.04
南のめぐみ	10.1	0.3	0.45	0.03
春の香りの青い空	11.3	0.5	0.49	0.3
スローブレッドジャパネスク	10.6	1.0	0.45	0.05
テリヤ特号	10.5	0.5	0.46	0
レジャンデール	12.2	0	0.6	0
テロワールピュール	9.5	0	0.53	0
アンダンテ	11.7	0	0.35	0
ウーヴリエ	11.0	0.5	0.57	0.05
フランス	11.9	0	0.44	0
1CW	12.3	0.3	0.39	0.03
エペ	11.0	1.0	0.60	0.05
カメリヤ	11.8	0	0.37	0
グリストミル	13.5	1.0	0.95	0.10
ゆめちから	12.5	0	0.48	0
ムール・ド・ピエール	10.5	0.8	0.55	0.1
スローブレッドクラシック	11.5	1.0	0.6	0.1
スーパーファインハード	13.5	0	1.5	0
ソレドォル	12.0	0.4	0.41	0.03
トラディショナル	11.6	1.0	0.43	0
スーパーキング	13.8	0	0.42	0
ラ・トラディション・フランセーズ	10.5	2.0	0.55	0.1
春よ恋	11.0	1.0	0.45	0.05
リスドォル	10.7	0	0.45	0
はるゆたか	11.5	1.0	0.46	0.05
キタノカオリ	11.5	1.0	0.49	0.05
レッジェーロ	11.3	0	0.42	0
イーグル	12.0	0	0.35	0
ゴールデンヨット	13.5	0	0.41	0
コンチェルト	11.5	0	0.5	0
ゆめかおり	12.0	1.5	0.95	0.20
スーパーカメリヤ	11.5	0	0.33	0